"aidong_no,aidong_id,source_key,aidong_name,source_character_name,idol_name,group_key,animal_name,physical_no,persona_no,island_name,icon_count,dialogue_count,story_seed_count,character_source,persona_source,crawling_source,album_metaphor_source,sheet_path,midjourney_prompt,source_index_","ile,release_status,is_enabled",_planner_note,_check_status,_source_csv,_updated_at
"1,AIDONG-0001,41_115_루미돼지_이창민_2AM,루미돼지,루미돼지,이창민,2AM,돼지,41,115,루미새벽식탁섬,8,100,100,e_아이동캐릭터/돼지/41_115_루미돼지_이창민_2AM.md,c_아이돌_페르소나/2AM/이창민_페르소나시트.md,b_아이돌_크롤링/2AM/이창민_크롤링.txt,b_아이돌_크롤링/2AM/음반메타분석서_2AM.md,/Users/whtdrgon/Library/CloudStorage/GoogleDrive-mejecrew@gmail.com/내 드라이브/_antigravity_MEJE01/아이동월드/[캐릭터메이킹엔진]/","_아이동캐릭터시트/2AM/41_115_루미돼지_이창민_2AM_아이동캐릭터시트.md,,[캐릭터메이킹엔진]/g_아이동월드_콘텐츠팩/data/aidong_static_index.jsonl,active,Y",,,X-CHR-00_aidong_index.csv,2026-06-29
"2,AIDONG-0002,44_116_노블오랑우탄_임슬옹_2AM,노블오랑우탄,노블오랑우탄,임슬옹,2AM,오랑우탄,44,116,노블녹턴정원섬,8,100,100,e_아이동캐릭터/오랑우탄/44_116_노블오랑우탄_임슬옹_2AM.md,c_아이돌_페르소나/2AM/임슬옹_페르소나시트.md,b_아이돌_크롤링/2AM/임슬옹_크롤링.txt,b_아이돌_크롤링/2AM/음반메타분석서_2AM.md,/Users/whtdrgon/Library/CloudStorage/GoogleDrive-mejecrew@gmail.com/내 드라이브/_antigravity_MEJE01/아이동월드/[캐릭터메이킹엔진]/","_아이동캐릭터시트/2AM/44_116_노블오랑우탄_임슬옹_2AM_아이동캐릭터시트.md,,[캐릭터메이킹엔진]/g_아이동월드_콘텐츠팩/data/aidong_static_index.jsonl,active,Y",,,X-CHR-00_aidong_index.csv,2026-06-29
"3,AIDONG-0003,10_119_황제여우_준호_2PM,황제여우,황제여우,준호,2PM,여우,10,119,황제여우개인섬,8,100,100,e_아이동캐릭터/여우/10_119_황제여우_준호_2PM.md,c_아이돌_페르소나/2PM/준호_페르소나시트.md,b_아이돌_크롤링/2PM/준호_크롤링.txt,b_아이돌_크롤링/2PM/음반메타분석서_2PM.md,/Users/whtdrgon/Library/CloudStorage/GoogleDrive-mejecrew@gmail.com/내 드라이브/_antigravity_MEJE01/아이동월드/[캐릭터메이킹엔진]/","_아이동캐릭터시트/2PM/10_119_황제여우_준호_2PM_아이동캐릭터시트.md,,[캐릭터메이킹엔진]/g_아이동월드_콘텐츠팩/data/aidong_static_index.jsonl,active,Y",,,X-CHR-00_aidong_index.csv,2026-06-29
"4,AIDONG-0004,14_117_신사코알라_닉쿤_2PM,신사코알라,쿤알라,닉쿤,2PM,코알라,14,117,신사코알라개인섬,8,100,100,e_아이동캐릭터/코알라/14_117_신사코알라_닉쿤_2PM.md,c_아이돌_페르소나/2PM/닉쿤_페르소나시트.md,b_아이돌_크롤링/2PM/닉쿤_크롤링.txt,b_아이돌_크롤링/2PM/음반메타분석서_2PM.md,/Users/whtdrgon/Library/CloudStorage/GoogleDrive-mejecrew@gmail.com/내 드라이브/_antigravity_MEJE01/아이동월드/[캐릭터메이킹엔진]/","_아이동캐릭터시트/2PM/14_117_신사코알라_닉쿤_2PM_아이동캐릭터시트.md,,[캐릭터메이킹엔진]/g_아이동월드_콘텐츠팩/data/aidong_static_index.jsonl,active,Y",,,X-CHR-00_aidong_index.csv,2026-06-29
"5,AIDONG-0005,15_119_황제멍_준호_2PM,황제멍,황제멍,준호,2PM,강아지,15,119,황제멍개인섬,8,100,100,e_아이동캐릭터/강아지/15_119_황제멍_준호_2PM.md,c_아이돌_페르소나/2PM/준호_페르소나시트.md,b_아이돌_크롤링/2PM/준호_크롤링.txt,b_아이돌_크롤링/2PM/음반메타분석서_2PM.md,/Users/whtdrgon/Library/CloudStorage/GoogleDrive-mejecrew@gmail.com/내 드라이브/_antigravity_MEJE01/아이동월드/[캐릭터메이킹엔진]/","_아이동캐릭터시트/2PM/15_119_황제멍_준호_2PM_아이동캐릭터시트.md,,[캐릭터메이킹엔진]/g_아이동월드_콘텐츠팩/data/aidong_static_index.jsonl,active,Y",,,X-CHR-00_aidong_index.csv,2026-06-29
"6,AIDONG-0006,15_74_코지멍_택연_2PM,코지멍,코지멍,택연,2PM,강아지,15,74,코지멍개인섬,8,100,100,e_아이동캐릭터/강아지/15_74_코지멍_택연_2PM.md,c_아이돌_페르소나/2PM/택연_페르소나시트.md,b_아이돌_크롤링/2PM/택연_크롤링.txt,b_아이돌_크롤링/2PM/음반메타분석서_2PM.md,/Users/whtdrgon/Library/CloudStorage/GoogleDrive-mejecrew@gmail.com/내 드라이브/_antigravity_MEJE01/아이동월드/[캐릭터메이킹엔진]/","_아이동캐릭터시트/2PM/15_74_코지멍_택연_2PM_아이동캐릭터시트.md,,[캐릭터메이킹엔진]/g_아이동월드_콘텐츠팩/data/aidong_static_index.jsonl,active,Y",,,X-CHR-00_aidong_index.csv,2026-06-29
"7,AIDONG-0007,37_118_삐욘병아리_우영_2PM,삐욘병아리,삐욘병아리,우영,2PM,병아리,37,118,삐욘병아리개인섬,8,100,100,e_아이동캐릭터/병아리/37_118_삐욘병아리_우영_2PM.md,c_아이돌_페르소나/2PM/우영_페르소나시트.md,b_아이돌_크롤링/2PM/우영_크롤링.txt,b_아이돌_크롤링/2PM/음반메타분석서_2PM.md,/Users/whtdrgon/Library/CloudStorage/GoogleDrive-mejecrew@gmail.com/내 드라이브/_antigravity_MEJE01/아이동월드/[캐릭터메이킹엔진]/","_아이동캐릭터시트/2PM/37_118_삐욘병아리_우영_2PM_아이동캐릭터시트.md,,[캐릭터메이킹엔진]/g_아이동월드_콘텐츠팩/data/aidong_static_index.jsonl,active,Y",,,X-CHR-00_aidong_index.csv,2026-06-29
"8,AIDONG-0008,6_119_황제펭_준호_2PM,황제펭,황제펭,준호,2PM,펭귄,6,119,황제펭개인섬,8,100,100,e_아이동캐릭터/펭귄/6_119_황제펭_준호_2PM.md,c_아이돌_페르소나/2PM/준호_페르소나시트.md,b_아이돌_크롤링/2PM/준호_크롤링.txt,b_아이돌_크롤링/2PM/음반메타분석서_2PM.md,/Users/whtdrgon/Library/CloudStorage/GoogleDrive-mejecrew@gmail.com/내 드라이브/_antigravity_MEJE01/아이동월드/[캐릭터메이킹엔진]/","_아이동캐릭터시트/2PM/6_119_황제펭_준호_2PM_아이동캐릭터시트.md,,[캐릭터메이킹엔진]/g_아이동월드_콘텐츠팩/data/aidong_static_index.jsonl,active,Y",,,X-CHR-00_aidong_index.csv,2026-06-29
"9,AIDONG-0009,9_74_옥빛냥_택연_2PM,옥빛냥,옥캣냥,택연,2PM,고양이,9,74,옥빛냥개인섬,8,100,100,e_아이동캐릭터/고양이/9_74_옥빛냥_택연_2PM.md,c_아이돌_페르소나/2PM/택연_페르소나시트.md,b_아이돌_크롤링/2PM/택연_크롤링.txt,b_아이돌_크롤링/2PM/음반메타분석서_2PM.md,/Users/whtdrgon/Library/CloudStorage/GoogleDrive-mejecrew@gmail.com/내 드라이브/_antigravity_MEJE01/아이동월드/[캐릭터메이킹엔진]/","_아이동캐릭터시트/2PM/9_74_옥빛냥_택연_2PM_아이동캐릭터시트.md,,[캐릭터메이킹엔진]/g_아이동월드_콘텐츠팩/data/aidong_static_index.jsonl,active,Y",,,X-CHR-00_aidong_index.csv,2026-06-29
"10,AIDONG-0010,11_121_명음호랑_명호_8TURN,명음호랑,명음호랑,명호,8TURN,호랑이,11,121,명음호랑개인섬,8,100,100,e_아이동캐릭터/호랑이/11_121_명음호랑_명호_8TURN.md,c_아이돌_페르소나/8TURN/명호_페르소나시트.md,b_아이돌_크롤링/8TURN/명호_크롤링.txt,b_아이돌_크롤링/8TURN/음반메타분석서_8TURN.md,/Users/whtdrgon/Library/CloudStorage/GoogleDrive-mejecrew@gmail.com/내 드라이브/_antigravity_MEJE01/아이동월드/[캐릭터메이킹엔진]/","_아이동캐릭터시트/8TURN/11_121_명음호랑_명호_8TURN_아이동캐릭터시트.md,,[캐릭터메이킹엔진]/g_아이동월드_콘텐츠팩/data/aidong_static_index.jsonl,active,Y",,,X-CHR-00_aidong_index.csv,2026-06-29
