aidong_icon_id,aidong_id,icon_type,emotion_code,variant_no,asset_key,asset_path,image_format,width_px,height_px,is_default,is_profile_selectable,sort_order,release_status,is_enabled,_planner_note,_check_status,_source_csv,_updated_at
AICON-AIDONG-0001-DEFAULT,AIDONG-0001,default,neutral,1,aidong_aidong-0001_default,image/아이동아이콘/AIDONG-0001_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0002-DEFAULT,AIDONG-0002,default,neutral,1,aidong_aidong-0002_default,image/아이동아이콘/AIDONG-0002_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0003-DEFAULT,AIDONG-0003,default,neutral,1,aidong_aidong-0003_default,image/아이동아이콘/AIDONG-0003_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0004-DEFAULT,AIDONG-0004,default,neutral,1,aidong_aidong-0004_default,image/아이동아이콘/AIDONG-0004_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0005-DEFAULT,AIDONG-0005,default,neutral,1,aidong_aidong-0005_default,image/아이동아이콘/AIDONG-0005_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0006-DEFAULT,AIDONG-0006,default,neutral,1,aidong_aidong-0006_default,image/아이동아이콘/AIDONG-0006_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0007-DEFAULT,AIDONG-0007,default,neutral,1,aidong_aidong-0007_default,image/아이동아이콘/AIDONG-0007_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0008-DEFAULT,AIDONG-0008,default,neutral,1,aidong_aidong-0008_default,image/아이동아이콘/AIDONG-0008_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0009-DEFAULT,AIDONG-0009,default,neutral,1,aidong_aidong-0009_default,image/아이동아이콘/AIDONG-0009_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0010-DEFAULT,AIDONG-0010,default,neutral,1,aidong_aidong-0010_default,image/아이동아이콘/AIDONG-0010_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0011-DEFAULT,AIDONG-0011,default,neutral,1,aidong_aidong-0011_default,image/아이동아이콘/AIDONG-0011_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0012-DEFAULT,AIDONG-0012,default,neutral,1,aidong_aidong-0012_default,image/아이동아이콘/AIDONG-0012_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0013-DEFAULT,AIDONG-0013,default,neutral,1,aidong_aidong-0013_default,image/아이동아이콘/AIDONG-0013_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0014-DEFAULT,AIDONG-0014,default,neutral,1,aidong_aidong-0014_default,image/아이동아이콘/AIDONG-0014_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0015-DEFAULT,AIDONG-0015,default,neutral,1,aidong_aidong-0015_default,image/아이동아이콘/AIDONG-0015_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0016-DEFAULT,AIDONG-0016,default,neutral,1,aidong_aidong-0016_default,image/아이동아이콘/AIDONG-0016_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0017-DEFAULT,AIDONG-0017,default,neutral,1,aidong_aidong-0017_default,image/아이동아이콘/AIDONG-0017_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0018-DEFAULT,AIDONG-0018,default,neutral,1,aidong_aidong-0018_default,image/아이동아이콘/AIDONG-0018_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0019-DEFAULT,AIDONG-0019,default,neutral,1,aidong_aidong-0019_default,image/아이동아이콘/AIDONG-0019_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0020-DEFAULT,AIDONG-0020,default,neutral,1,aidong_aidong-0020_default,image/아이동아이콘/AIDONG-0020_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0021-DEFAULT,AIDONG-0021,default,neutral,1,aidong_aidong-0021_default,image/아이동아이콘/AIDONG-0021_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0022-DEFAULT,AIDONG-0022,default,neutral,1,aidong_aidong-0022_default,image/아이동아이콘/AIDONG-0022_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0023-DEFAULT,AIDONG-0023,default,neutral,1,aidong_aidong-0023_default,image/아이동아이콘/AIDONG-0023_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0024-DEFAULT,AIDONG-0024,default,neutral,1,aidong_aidong-0024_default,image/아이동아이콘/AIDONG-0024_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0025-DEFAULT,AIDONG-0025,default,neutral,1,aidong_aidong-0025_default,image/아이동아이콘/AIDONG-0025_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0026-DEFAULT,AIDONG-0026,default,neutral,1,aidong_aidong-0026_default,image/아이동아이콘/AIDONG-0026_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0027-DEFAULT,AIDONG-0027,default,neutral,1,aidong_aidong-0027_default,image/아이동아이콘/AIDONG-0027_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0028-DEFAULT,AIDONG-0028,default,neutral,1,aidong_aidong-0028_default,image/아이동아이콘/AIDONG-0028_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0029-DEFAULT,AIDONG-0029,default,neutral,1,aidong_aidong-0029_default,image/아이동아이콘/AIDONG-0029_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0030-DEFAULT,AIDONG-0030,default,neutral,1,aidong_aidong-0030_default,image/아이동아이콘/AIDONG-0030_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0031-DEFAULT,AIDONG-0031,default,neutral,1,aidong_aidong-0031_default,image/아이동아이콘/AIDONG-0031_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0032-DEFAULT,AIDONG-0032,default,neutral,1,aidong_aidong-0032_default,image/아이동아이콘/AIDONG-0032_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0033-DEFAULT,AIDONG-0033,default,neutral,1,aidong_aidong-0033_default,image/아이동아이콘/AIDONG-0033_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
AICON-AIDONG-0034-DEFAULT,AIDONG-0034,default,neutral,1,aidong_aidong-0034_default,image/아이동아이콘/AIDONG-0034_default.png,png,512,512,Y,Y,1,active,Y,,,X-CHR-04_aidong_icon_master.csv,2026-06-29
